AS-001	Auto Sync start: no crews	Organizer texts Auto Sync when account has 0 crews	System replies “no crews” message and ends flow (no draft created).		2	Completed
AS-002	Auto Sync start: crew name recognized	Organizer texts Auto Sync Friends (crew exists)	System selects crew and prompts: “Event name?” (or equivalent event-name prompt).		2	Completed
AS-003	Auto Sync start: crew name not recognized	Organizer texts Auto Sync FakeCrew	System replies crew-not-found message with options to retry/create/exit; no draft created.		7	Fix Needed
AS-004	Event name required: blank	After crew selection, organizer submits empty/whitespace event name	System re-prompts for event name; does not proceed.		2	Completed
AS-005	Event name accepted	Organizer submits valid event name	System proceeds to time definition step (calendar-mode prompt for windows OR no-calendar prompt for concrete times, depending on calendar connectivity).		2	Completed
AS-006	Exit during setup discards	Organizer types exit during setup (before sending)	System exits to normal chat; Auto Sync draft discarded; auto sync check shows nothing.		3	Completed
AS-007	Calendar connected auto-detection	Organizer has Google Calendar connected; texts Auto Sync and proceeds	System does not ask to connect calendar; uses calendar-mode time-window prompt.		2	Completed
AS-008	Calendar not connected: no-calendar mode	Organizer has no calendar connected; texts Auto Sync and proceeds	System does not ask to connect calendar; uses no-calendar prompt requiring 1–3 concrete times.		2	Completed
AS-009	No calendar “nag”	Organizer without calendar completes full Auto Sync setup	At no point does system prompt “connect calendar”; only time zone prompt appears at send-time if needed.		4	Completed
AS-010	Calendar mode: time window input accepted	Calendar connected; organizer provides NL window (e.g., “weeknights next week”)	System acknowledges and moves into “propose option” loop (shows first option + week view).		3	Completed
AS-011	Calendar mode: propose option structure	Calendar connected; system proposes option	Organizer receives: (a) week-level calendar visual for Mon–Sun, (b) one highlighted proposed slot, (c) instruction to reply yes (save), next, or suggest change.		3	Completed
AS-012	Calendar mode: next shows another option	Organizer replies next	System shows next option (same structure: week view + highlighted time + prompt).		4	Completed
AS-013	Calendar mode: save first option	Organizer replies yes to a proposal	System confirms saved option and prompts: “Send Auto Sync, add another option, or exit?” (or equivalent).		3	Completed
AS-014	Calendar mode: save second option	Organizer saves a second option	System confirms second save and prompts to send/add/exit.		2	Completed
AS-015	Calendar mode: save third option and enforce max	Organizer saves a third option	System confirms third save and states max reached; prompt includes only send or exit.		2	Completed
AS-016	Calendar mode: suggest valid change same week	Organizer suggests a new time within shown week with no conflict	System updates highlighted time to suggested time and asks for confirmation to save / next (no error).		4	Completed
AS-017	Calendar mode: suggest conflicting change	Organizer suggests time that conflicts on organizer calendar	System responds “conflicts” and returns to same decision prompt (save/suggest/next), without saving.		3	Completed
AS-018	Calendar mode: suggest time in different week	Organizer suggests time outside currently shown week	System loads new week view, highlights suggested time, asks for confirmation to save / next.		2	Completed
AS-019	Calendar mode: no fully open window (closest option)	Organizer’s calendar has no fully open window in requested range	System returns “closest option” proposal (still one option + week view + prompt).		3	Completed
AS-020	Calendar mode: calendar access failure mid-flow	Calendar token/API fails during proposal loop	System returns calendar access error and exits/discards the in-progress Auto Sync (no active Auto Sync remains).		2	Completed
